question_id,document,question,reference_answer,gold_node_id,gold_section,gold_page,question_type,answer_items,notes
breast_cancer_screening_02,breast_cancer_screening,How often does the USPSTF recommend breast cancer screening for women aged 40 to 74 years?,"The USPSTF recommends biennial screening mammography for women aged 40 to 74 years, meaning every other year.",0008,Recommendation Summary,4,numeric_threshold,,
breast_cancer_screening_03,breast_cancer_screening,Up to what age does the USPSTF provide a B grade recommendation for biennial screening mammography?,The USPSTF provides a B grade recommendation for biennial screening mammography for women up to age 74 years.,0008,Recommendation Summary,4,numeric_threshold,,
breast_cancer_screening_04,breast_cancer_screening,What is the USPSTF's recommendation for breast cancer screening for women aged 40 to 74 years?,"For women aged 40 to 74 years, the USPSTF recommends biennial screening mammography, which is assigned a B grade.",0008,Recommendation Summary,4,age_band_lookup,,
breast_cancer_screening_05,breast_cancer_screening,What is the USPSTF's conclusion regarding screening mammography for women 75 years or older?,"For women 75 years or older, the USPSTF concludes that the current evidence is insufficient to assess the balance of benefits and harms of screening mammography, resulting in an I grade.",0008,Recommendation Summary,4,age_band_lookup,,
breast_cancer_screening_06,breast_cancer_screening,"What types of additional screening methods are mentioned for women with dense breasts, for which more research is urgently called for?",Additional screening methods mentioned are breast ultrasound or MRI.,0005,Newsroom,3,list_based,breast ultrasound|MRI,
breast_cancer_screening_07,breast_cancer_screening,Which organizations are listed as providing additional tools and resources for breast cancer screening?,The National Cancer Institute and the Centers for Disease Control and Prevention (CDC) are listed as providing additional tools and resources.,0011,Additional Information,6,list_based,The National Cancer Institute|The Centers for Disease Control and Prevention,
breast_cancer_screening_08,breast_cancer_screening,"What grade does the Task Force assign to the recommendation for screening all women for breast cancer every other year, starting at age 40 and continuing through age 74?",This recommendation is assigned a B grade.,0003,Frequently Asked Questions,2,information_extraction,,
breast_cancer_screening_09,breast_cancer_screening,"According to the Task Force, what is the primary objective of screening women for breast cancer every other year from age 40 to 74?",The primary objective is to reduce their risk of dying from this disease.,0003,Frequently Asked Questions,2,information_extraction,,
hypertension_screening_01,hypertension_screening,What is the minimum age for adults for whom the USPSTF recommends screening for hypertension?,The recommendation applies to adults 18 years or older.,0000,Final Recommendation Statement,1,numeric_threshold,,
hypertension_screening_02,hypertension_screening,What grade did the USPSTF issue for its recommendation on screening for hypertension in adults?,The USPSTF issued an A recommendation.,0005,Reaffirmation,4,information_extraction,,
hypertension_screening_03,hypertension_screening,What are the two types of blood pressure monitoring recommended for confirming a hypertension diagnosis outside of a clinical setting?,Ambulatory blood pressure monitoring (ABPM) and home blood pressure monitoring (HBPM) with validated and accurate devices should be used.,0010,Screening Intervals,5,list_based,Ambulatory blood pressure monitoring (ABPM)|Home blood pressure monitoring (HBPM),
hypertension_screening_04,hypertension_screening,What is the publication date of the Final Recommendation Statement for Hypertension in Adults: Screening?,"April 27, 2021.",0000,Final Recommendation Statement,1,information_extraction,,
hypertension_screening_05,hypertension_screening,What type of evidence would justify a change in the grade during the USPSTF's reaffirmation process?,Only a very high level of evidence would justify a change in the grade.,0005,Reaffirmation,4,information_extraction,,
hypertension_screening_06,hypertension_screening,Which archived versions of the recommendation statement are mentioned in the 'Additional Information' section?,"Archived versions from October 2015, December 2007, August 2003, and January 1996 are mentioned.",0004,Additional Information,3,list_based,October 2015|December 2007|August 2003|January 1996,
hypertension_screening_07,hypertension_screening,"According to the document, what does Ambulatory Blood Pressure Monitoring (ABPM) involve?",Ambulatory blood pressure monitoring involves wearing a programmed device that automatically takes frequent blood pressure measurements over the course of a day (or day and night).,0010,Screening Intervals,5,information_extraction,,
hypertension_screening_08,hypertension_screening,"For which age group is the USPSTF recommendation for hypertension screening applicable, assuming no known hypertension?",The recommendation applies to adults 18 years or older without known hypertension.,0000,Final Recommendation Statement,1,age_band_lookup,,
hypertension_screening_09,hypertension_screening,When did the USPSTF last review the evidence for screening for hypertension in adults before deciding to use a reaffirmation deliberation process?,The USPSTF reviewed the evidence in 2015.,0005,Reaffirmation,4,information_extraction,,
depression_suicide_screening_01,depression_suicide_screening,"According to the DSM-5, what is the minimum duration of symptoms required for a diagnosis of Major Depressive Disorder (MDD)?",MDD is defined as having at least 2 weeks of mild to severe persistent feelings of sadness or a lack of interest in everyday activities.,0007,Condition Definitions,6,numeric_threshold,,
depression_suicide_screening_02,depression_suicide_screening,For what age group is suicide identified as the second-leading cause of death?,Suicide is the second-leading cause of death in individuals aged 10 to 34 years.,0013,Suggestions for Practice Regarding the I Statement,8,age_band_lookup,,
depression_suicide_screening_03,depression_suicide_screening,What are some other relevant USPSTF recommendations mentioned in the document?,"Other relevant USPSTF recommendations include screening for anxiety disorders in adults, preventive counseling interventions for perinatal depression, and additional mental health recommendations for adults.",0004,Additional Information,3,list_based,Screening for anxiety disorders in adults|Preventive counseling interventions for perinatal depression|Additional mental health recommendations for adults,
depression_suicide_screening_04,depression_suicide_screening,What is the date of the Final Recommendation Statement for Depression and Suicide Risk in Adults: Screening?,"The Final Recommendation Statement is dated June 20, 2023.",0000,Depression and Suicide Risk in Adults: Screening,1,information_extraction,,
depression_suicide_screening_05,depression_suicide_screening,"Besides sadness or lack of interest, how else can depression present according to the DSM-5?","Depression can also present with irritability, poor concentration, and somatic complaints such as difficulty sleeping, decreased energy, and changes in appetite.",0007,Condition Definitions,6,list_based,"Irritability|Poor concentration|Somatic complaints (e.g., difficulty sleeping, decreased energy, and changes in appetite)",
depression_suicide_screening_06,depression_suicide_screening,What percentage of individuals who die by suicide were seen in primary care in the year prior to their death?,Eighty-three percent (83%) of individuals who die by suicide were seen in primary care in the previous year.,0013,Suggestions for Practice Regarding the I Statement,8,numeric_threshold,,
depression_suicide_screening_07,depression_suicide_screening,What is the USPSTF's stance on the optimal timing for screening for depression?,There is little evidence regarding the optimal timing for screening for depression; more evidence is needed in both perinatal and general adult populations.,0010,Screening Intervals,7,information_extraction,,
depression_suicide_screening_08,depression_suicide_screening,What factors might a clinician consider when determining if additional screening for depression is warranted for patients at increased risk?,"A clinician might consider risk factors, comorbid conditions, and life events to determine if additional screening is warranted.",0010,Screening Intervals,7,list_based,Risk factors|Comorbid conditions|Life events,
depression_suicide_screening_09,depression_suicide_screening,What is the definition of perinatal depression provided in the document?,Perinatal depression is defined as depressive episodes that occur during the perinatal period.,0007,Condition Definitions,6,information_extraction,,
prediabetes_diabetes_screening_01,prediabetes_diabetes_screening,What is the suggested screening interval for adults with an initial normal glucose test result?,Screening every 3 years may be a reasonable approach for adults with normal blood glucose levels.,0003,Additional Information,2,numeric_threshold,,
prediabetes_diabetes_screening_02,prediabetes_diabetes_screening,What BMI threshold is associated with the USPSTF recommendation for behavioral weight loss interventions to prevent obesity-related morbidity and mortality?,The USPSTF has made a recommendation on behavioral weight loss interventions to prevent obesity-related morbidity and mortality in adults with a BMI ≥30.,0003,Additional Information,2,numeric_threshold,,
prediabetes_diabetes_screening_03,prediabetes_diabetes_screening,"According to the 2020 CDC National Diabetes Statistics Report, what percentage of all US adults (18 years or older) meet criteria for prediabetes?",An estimated 34.5% meet criteria for prediabetes.,0006,Importance,3,numeric_threshold,,
prediabetes_diabetes_screening_04,prediabetes_diabetes_screening,What is the age range for asymptomatic adults for whom screening for prediabetes and type 2 diabetes is recommended?,Asymptomatic adults aged 35 to 70 years.,0000,Prediabetes and Type 2 Diabetes: Screening,1,age_band_lookup,,
prediabetes_diabetes_screening_05,prediabetes_diabetes_screening,"Besides overweight and obesity, what are other identified risk factors for developing prediabetes and type 2 diabetes in adults?","Other risk factors include older age, family history, history of gestational diabetes, history of polycystic ovarian syndrome, and dietary and lifestyle factors.",0010,Assessment of Risk,4,list_based,older age|family history|history of gestational diabetes|history of polycystic ovarian syndrome|dietary and lifestyle factors,
prediabetes_diabetes_screening_06,prediabetes_diabetes_screening,Which specific racial/ethnic groups are noted to have a higher prevalence of diabetes?,"The prevalence of diabetes is higher among American Indian/Alaska Native, Asian, Hispanic/Latino, and non-Hispanic Black persons.",0010,Assessment of Risk,4,list_based,American Indian/Alaska Native|Asian|Hispanic/Latino|non-Hispanic Black,
prediabetes_diabetes_screening_07,prediabetes_diabetes_screening,What is the USPSTF's stance on the independence of its recommendations from the U.S. government?,Recommendations made by the USPSTF are independent of the U.S. government.,0000,Prediabetes and Type 2 Diabetes: Screening,1,information_extraction,,
prediabetes_diabetes_screening_08,prediabetes_diabetes_screening,What is identified as the strongest risk factor for developing prediabetes and type 2 diabetes in adults?,Overweight and obesity are the strongest risk factors for developing prediabetes and type 2 diabetes in adults.,0010,Assessment of Risk,4,information_extraction,,
prediabetes_diabetes_screening_09,prediabetes_diabetes_screening,What is the publication date of the Final Recommendation Statement for Prediabetes and Type 2 Diabetes: Screening?,"August 24, 2021.",0000,Prediabetes and Type 2 Diabetes: Screening,1,information_extraction,,
